A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20161202025291;2;2;13;09;2;1;6;4;118.54844913
1;20161201029832;2;2;13;09;1;1;6;4;206.06009015
1;20161201022633;2;2;13;09;1;1;6;3;27.55881814
1;20161201029881;2;2;13;09;1;1;6;3;206.06009015
1;20161201010379;2;2;13;09;2;1;6;4;146.51843929
2;20161201021611;3;3;13;98;0;5;0;1;186.47426195
2;20161201028423;2;2;13;09;1;1;6;4;188.99968323
1;20161202016897;2;2;13;13;1;1;6;2;416.14128436
1;20161201022606;2;2;13;09;1;1;1;3;27.52795388
1;20161201008505;3;2;13;98;0;1;6;1;173.95610619
2;20161201022344;2;2;13;04;1;1;1;3;54.279410558
1;20161201022638;2;2;13;09;1;1;1;3;27.52795388
2;20161202024868;2;2;13;16;8;3;6;4;92.301493758
1;20161201029864;2;2;13;09;8;4;6;4;129.13248631
1;20161201010385;2;2;13;09;1;1;1;3;233.89597199
2;20161201029860;2;2;13;09;8;4;6;4;129.13248631
1;20161201010545;2;2;13;09;1;2;6;4;234.7801346
1;20161201021989;2;2;13;13;1;1;6;3;251.3661956
1;20161201022628;2;2;13;09;1;1;6;4;27.55881814
1;20161201022639;2;2;13;09;1;1;1;4;27.52795388
1;20161201010589;2;2;13;09;1;1;6;3;189.41851452
1;20161202010536;2;2;13;09;1;1;6;4;234.15821546
1;20161203030344;2;2;13;13;1;1;6;3;364.05774366
1;20161201010448;2;2;13;09;1;1;6;4;189.41851452
1;20161201010551;2;2;13;09;1;1;6;4;234.15821546
1;20161201022803;2;2;13;09;1;1;6;3;27.55881814
1;20161201015480;2;2;13;14;3;1;6;6;126.55375888
1;20161203010385;2;2;13;09;1;1;1;3;233.89597199
1;20161201016897;2;2;13;13;1;1;6;2;416.14128436
1;20161202000498;2;2;13;01;8;2;6;4;63.14408145
1;20161202029621;2;2;13;04;1;1;1;4;54.279410558
1;20161201010546;2;2;13;09;1;1;1;3;233.89597199
1;20161203029635;2;2;13;04;1;1;1;4;54.279410558
1;20161202005833;3;3;13;10;0;1;1;1;57.381204629
1;20161201025341;2;2;13;09;1;1;6;4;189.45801926
1;20161201022649;2;2;13;09;1;1;1;3;27.52795388
1;20161202022794;2;2;13;09;1;1;6;4;27.55881814
2;20161201029775;2;2;13;04;7;1;6;6;34.322560214
1;20161203022649;2;2;13;09;1;1;1;3;27.52795388
1;20161202008505;3;2;13;98;0;1;6;1;173.95610619
1;20161202010385;2;2;13;09;1;1;1;3;233.89597199
1;20161201030344;2;2;13;13;1;1;6;3;364.05774366
1;20161201025345;2;2;13;09;1;1;6;4;189.45801926
1;20161201029638;2;2;13;04;8;4;6;4;34.585885302
1;20161201029639;2;2;13;04;1;1;1;4;54.279410558
1;20161201022636;2;2;13;09;1;1;1;3;27.52795388
1;20161201022625;2;2;13;09;1;1;6;4;27.55881814
1;20161201024022;2;2;13;14;2;2;6;6;59.419501412
1;20161201012264;2;2;13;10;6;1;6;4;32.436909092
1;20161201029620;2;2;13;04;8;4;6;4;34.585885302
1;20161201015589;2;2;13;10;8;1;6;4;42.419320771
1;20161203015589;2;2;13;10;8;1;6;4;42.419320771
1;20161202029638;2;2;13;04;8;4;6;4;34.585885302
2;20161201018555;2;2;13;09;1;1;6;4;189.45801926
1;20161201010543;2;2;13;09;1;1;6;4;234.15821546
2;20161201026271;2;2;13;04;8;4;6;4;61.792920231
2;20161201008098;2;2;13;04;1;1;1;4;115.06348193
2;20161201029685;2;2;13;04;8;4;6;5;34.585885302
1;20161201010404;2;2;13;09;1;1;6;4;234.15821546
1;20161202022606;2;2;13;09;1;1;1;3;27.52795388
1;20161201022794;2;2;13;09;1;1;6;4;27.55881814
2;20161201010027;2;2;13;04;1;1;6;5;125.02429078
2;20161201028712;2;2;13;04;1;1;1;3;54.279410558
1;20161202030344;2;2;13;13;1;1;6;3;364.05774366
1;20161202010379;2;2;13;09;2;1;6;4;146.51843929
1;20161201010386;2;2;13;09;2;1;6;3;146.51843929
2;20161202028496;3;2;13;98;0;5;0;1;106.34863675
1;20161201024002;2;2;2;10;7;1;6;5;33.642721845
1;20161202027665;2;2;2;14;7;1;6;4;59.796272864
1;20161202010214;2;2;2;10;1;1;1;3;8.1776988293
1;20161221022305;2;2;2;04;1;2;6;5;7.10219522
1;20161201024925;2;2;2;13;1;1;1;4;27.16398539
1;20161202013605;2;2;2;05;1;1;1;4;55.617461878
1;20161201009414;2;2;2;16;1;1;6;4;21.543294071
1;20161201014666;2;2;2;10;7;1;6;3;4.5596676782
1;20161221018830;3;2;2;98;0;1;1;1;106.51949548
2;20161201015407;2;2;2;10;7;1;6;4;33.642721845
2;20161201017220;2;2;2;09;1;1;1;3;49.173963792
1;20161223018830;3;2;2;98;0;1;1;1;106.51949548
1;20161201027733;2;2;2;14;8;1;6;4;59.796272864
1;20161205027662;2;2;2;10;8;1;6;4;33.642721845
1;20161217009197;2;2;2;09;1;2;6;3;21.939353547
1;20161243009197;2;2;2;09;1;2;6;3;21.939353547
1;20161202013478;2;2;2;05;2;1;6;5;141.37959921
1;20161201008244;2;2;2;05;1;1;1;5;56.02114894
1;20161209018830;3;2;2;98;0;1;1;1;106.51949548
1;20161201013492;2;2;2;05;7;1;6;6;140.51615843
1;20161201009202;2;2;2;09;1;1;1;3;21.856731752
2;20161202004658;2;2;2;10;2;1;6;3;4.5876858297
1;20161202010210;2;2;2;10;1;1;6;3;8.1868676409
2;20161201011196;2;2;2;10;1;1;6;3;36.708419373
1;20161201010194;2;2;2;10;1;1;6;4;8.1868676409
1;20161202014267;2;2;2;04;1;1;6;4;3.4070119163
2;20161201011195;2;2;2;10;8;1;6;5;33.642721845
1;20161201027962;2;2;2;13;8;1;6;5;78.944513505
1;20161204021956;2;2;2;13;1;1;6;3;103.6894454
1;20161212009197;2;2;2;09;1;2;6;3;21.939353547
1;20161201013586;2;2;2;05;7;1;6;6;140.51615843
1;20161201010175;2;2;2;10;2;1;6;4;7.54924791
1;20161204010214;2;2;2;10;1;1;1;3;8.1776988293
1;20161206018830;3;2;2;98;0;1;1;1;106.51949548
2;20161201013167;2;2;2;01;8;4;6;4;176.93370388
1;20161242022305;2;2;2;04;1;2;6;5;7.10219522
1;20161201027736;2;2;2;10;2;1;6;4;33.849448946
1;20161207008250;2;2;2;05;1;1;1;5;56.02114894
1;20161201018830;3;2;2;98;0;1;1;1;106.51949548
1;20161201009403;2;2;2;16;2;1;6;3;31.690897848
2;20161203027967;2;2;2;13;8;4;6;4;31.53698294
2;20161201027970;3;2;2;98;0;5;0;1;33.046643667
1;20161228009197;2;2;2;09;1;2;6;3;21.939353547
1;20161202003348;2;2;2;05;1;1;1;4;60.130149235
1;20161239022305;2;2;2;04;1;2;6;5;7.10219522
1;20161237022305;2;2;2;04;1;2;6;5;7.10219522
1;20161201010185;2;2;2;10;7;1;6;4;7.5031427538
2;20161201012130;2;2;2;10;1;1;6;3;12.254199188
1;20161204007674;2;2;2;05;1;1;1;4;56.02114894
1;20161213018830;3;2;2;98;0;1;1;1;106.51949548
1;20161201013485;2;2;2;05;8;1;6;4;140.51615843
1;20161201013467;2;2;2;05;1;1;6;6;55.67982001
2;20161201023585;2;2;2;01;1;1;1;5;129.33933384
1;20161204009428;3;2;2;98;0;1;6;1;20.148721133
1;20161201010219;2;2;2;10;8;1;6;3;7.5031427538
2;20161204000411;3;2;2;98;0;5;0;1;33.046643667
1;20161233009197;2;2;2;09;1;2;6;3;21.939353547
1;20161201009201;2;2;2;09;1;1;6;3;21.881237455
1;20161201021856;2;2;2;09;1;1;1;3;49.173963792
2;20161205027967;2;2;2;13;8;4;6;4;31.53698294
1;20161206009197;2;2;2;09;1;2;6;3;21.939353547
