A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20160103004556;2;2;2;16;1;2;6;3;49.364597517
1;20160102017000;2;2;2;10;1;1;1;4;199.46933406
1;20160101019705;2;2;2;13;1;1;6;4;34.600040347
2;20160116018700;2;2;2;05;1;1;1;4;88.237615537
2;20160104007311;3;2;2;98;0;5;0;1;27.077531061
1;20160102001645;2;2;2;04;8;1;6;5;12.151663134
1;20160107019711;3;2;2;98;0;4;6;1;27.077531061
1;20160102026663;2;2;2;05;1;1;1;5;88.237615537
1;20160101026838;2;2;2;05;1;1;1;4;88.237615537
1;20160102026826;2;2;2;05;1;1;1;4;88.237615537
1;20160101024964;2;2;2;05;1;1;1;4;62.613070259
1;20160105024376;3;2;2;98;0;1;1;1;55.81309999
1;20160101026642;2;2;2;05;2;1;6;6;132.92122756
1;20160102024933;2;2;2;05;1;1;6;5;62.034458819
2;20160116006797;2;2;2;01;1;2;1;4;49.100556157
2;20160131012312;2;2;2;01;1;1;1;4;48.221310188
1;20160103002852;2;2;2;13;1;1;6;4;34.600040347
1;20160102003564;2;2;2;01;7;1;6;4;25.876468027
1;20160102014106;2;2;2;10;8;1;6;4;38.938734776
1;20160101026659;2;2;2;05;1;1;1;4;88.237615537
1;20160101026821;2;2;2;05;1;1;1;4;88.237615537
1;20160101026832;2;2;2;05;2;1;6;6;132.92122756
2;20160126006797;2;2;2;01;1;2;1;4;49.100556157
1;20160101026823;2;2;2;05;7;1;6;5;130.94248454
2;20160103019235;2;2;2;09;6;1;6;3;170.9712343
2;20160103012312;2;2;2;01;1;1;1;4;48.221310188
1;20160101023767;2;2;2;10;1;1;6;5;28.995949148
1;20160101023617;2;2;2;10;2;3;6;6;17.873956063
1;20160101026820;2;2;2;05;8;1;6;5;130.94248454
1;20160102025155;2;2;2;05;2;1;6;4;94.320388302
2;20160101019195;2;2;2;09;2;1;6;4;170.9712343
2;20160136012312;2;2;2;01;1;1;1;4;48.221310188
2;20160103021660;2;2;2;05;8;1;6;4;92.916279917
1;20160101026826;2;2;2;05;1;1;1;4;88.237615537
1;20160101023783;2;2;2;10;8;1;6;5;17.303727984
2;20160103012992;2;2;2;01;8;1;6;5;25.876468027
2;20160132012312;2;2;2;01;1;1;1;4;48.221310188
1;20160101025167;2;2;2;05;2;1;6;4;94.320388302
1;20160117019885;2;2;2;13;1;2;6;3;35.230922127
1;20160102011225;2;2;2;01;1;1;1;4;48.221310188
1;20160101026822;2;2;2;05;1;1;1;5;88.237615537
2;20160133012312;2;2;2;01;1;1;1;4;48.221310188
1;20160101019886;2;2;2;13;8;4;6;4;29.659588356
2;20160102019191;2;2;2;09;1;1;6;3;94.819637442
1;20160101026662;2;2;2;05;1;1;1;4;88.237615537
1;20160102002706;2;2;2;13;1;1;6;4;34.600040347
2;20160127006797;2;2;2;01;1;2;1;4;49.100556157
1;20160101023639;2;2;2;10;7;1;6;4;17.303727984
1;20160104019711;3;2;2;98;0;4;6;1;27.077531061
1;20160102017958;2;2;2;09;8;1;6;3;68.506731467
1;20160101026643;2;2;2;05;1;1;1;5;88.237615537
1;20160101025157;2;2;2;05;8;1;6;4;92.916279917
1;20160103025160;2;2;2;05;8;1;6;4;92.916279917
1;20160101022283;2;2;2;05;1;1;6;6;62.034458819
2;20160127012312;2;2;2;01;1;1;1;4;48.221310188
1;20160102024376;3;2;2;98;0;1;1;1;55.81309999
2;20160106006797;2;2;2;01;1;2;1;4;49.100556157
1;20160103002218;2;2;2;10;8;1;6;6;17.310390347
2;20160102012821;2;2;2;09;1;1;6;4;94.819637442
2;20160138012312;2;2;2;01;1;1;1;4;48.221310188
2;20160108012312;2;2;2;01;1;1;1;4;48.221310188
2;20160102018700;2;2;2;05;1;1;1;4;88.237615537
1;20160101017954;2;2;2;09;1;1;6;3;38.567568279
2;20160102013637;2;2;2;02;1;1;6;4;170.82886529
1;20160101019892;2;2;2;13;1;2;6;3;35.230922127
1;20160102017955;2;2;2;09;2;1;6;3;69.541973903
1;20160101024938;2;2;2;05;6;1;6;5;94.320388302
1;20160103002844;2;2;2;13;1;1;6;4;34.600040347
1;20160107019885;2;2;2;13;1;2;6;3;35.230922127
1;20160103003831;2;2;2;01;1;1;6;5;46.003799347
2;20160102012513;3;2;2;98;0;5;0;1;171.03788993
2;20160103007293;3;2;2;98;0;5;0;1;27.077531061
1;20160102004008;2;2;2;01;8;1;6;5;25.876468027
1;20160105002849;2;2;2;13;2;1;6;4;29.587729881
2;20160103000190;2;2;2;10;2;1;6;4;24.271757422
1;20160102001624;2;2;2;04;8;1;6;4;12.151663134
2;20160102021660;2;2;2;05;8;1;6;4;92.916279917
1;20160102003762;2;2;2;01;8;1;6;5;25.876468027
1;20160102024390;3;2;2;98;0;1;1;1;55.81309999
2;20160102012548;2;2;2;13;8;4;6;4;187.34770896
1;20160101019706;2;2;2;13;1;2;6;3;35.230922127
2;20160101018741;2;2;2;05;1;1;1;4;88.237615537
1;20160101024502;3;2;2;98;0;5;6;1;55.81309999
1;20160105024385;3;2;2;98;0;1;1;1;55.81309999
1;20160106025155;2;2;2;05;2;1;6;4;94.320388302
1;20160102010892;2;2;2;01;1;1;6;4;47.775693936
2;20160126012312;2;2;2;01;1;1;1;4;48.221310188
1;20160105019892;2;2;2;13;1;2;6;3;35.230922127
1;20160102024961;2;2;2;05;7;1;6;5;92.916279917
1;20160103018180;2;2;2;09;1;1;6;3;38.567568279
1;20160101025156;2;2;2;05;4;1;6;3;62.347810177
1;20160102025165;2;2;2;05;1;1;6;4;62.034458819
1;20160102003598;2;2;2;01;8;1;6;5;25.876468027
2;20160109012312;2;2;2;01;1;1;1;4;48.221310188
1;20160103002723;2;2;2;13;1;1;6;3;34.600040347
1;20160103024485;3;2;2;98;0;1;1;1;55.81309999
1;20160108019706;2;2;2;13;1;2;6;3;35.230922127
1;20160101022286;2;2;2;05;1;1;1;5;62.613070259
1;20160101026840;2;2;2;05;1;1;1;4;88.237615537
1;20160101017951;2;2;2;09;1;1;6;4;38.567568279
1;20160102004018;2;2;2;01;8;1;6;6;25.876468027
1;20160106001646;2;2;2;04;2;1;6;4;12.335293517
1;20160101023626;2;2;2;10;7;1;6;6;17.303727984
1;20160102025154;2;2;2;05;1;1;6;4;62.034458819
1;20160101016988;2;2;2;10;1;1;1;4;199.46933406
1;20160103024390;3;2;2;98;0;1;1;1;55.81309999
1;20160101018187;2;2;2;09;1;1;6;3;38.567568279
2;20160118012312;2;2;2;01;1;1;1;4;48.221310188
2;20160101019110;2;2;2;10;2;1;6;4;39.527159152
2;20160140012312;2;2;2;01;1;1;1;4;48.221310188
1;20160101025160;2;2;2;05;8;1;6;4;92.916279917
1;20160102022122;2;2;2;05;1;4;6;4;63.124832422
1;20160104002218;2;2;2;10;8;1;6;6;17.310390347
2;20160123006797;2;2;2;01;1;2;1;4;49.100556157
1;20160103002728;2;2;2;13;1;1;6;4;34.600040347
1;20160102026645;2;2;2;05;2;1;6;6;132.92122756
1;20160101018196;2;2;2;09;1;1;6;3;38.567568279
2;20160101025669;2;2;2;01;7;1;6;5;26.873132962
1;20160101026836;2;2;2;05;2;1;6;5;132.92122756
2;20160102012312;2;2;2;01;1;1;1;4;48.221310188
1;20160102003823;2;2;2;01;8;1;6;5;25.876468027
1;20160102026314;2;2;2;13;1;2;1;3;34.807910053
1;20160101023784;2;2;2;10;8;1;6;6;17.303727984
1;20160104002723;2;2;2;13;1;1;6;3;34.600040347
1;20160101018185;2;2;2;09;1;1;6;3;38.567568279
1;20160112019885;2;2;2;13;1;2;6;3;35.230922127
1;20160101025159;2;2;2;05;1;1;6;4;62.034458819
1;20160101017953;2;2;2;09;1;1;6;4;38.567568279
2;20160106007372;2;2;2;01;2;1;6;4;26.267501393
2;20160101023465;2;2;2;05;1;1;1;4;62.613070259
1;20160104001894;2;2;2;04;1;1;6;4;9.2356310756
2;20160102014422;2;2;2;05;1;1;1;5;57.929605481
1;20160103017000;2;2;2;10;1;1;1;4;199.46933406
1;20160102003595;2;2;2;01;8;1;6;5;25.876468027
1;20160105026822;2;2;2;05;1;1;1;5;88.237615537
1;20160101023624;2;2;2;10;7;1;6;5;17.303727984
2;20160111018700;2;2;2;05;1;1;1;4;88.237615537
1;20160101019727;2;2;2;13;1;1;6;3;34.600040347
1;20160106011225;2;2;2;01;1;1;1;4;48.221310188
1;20160102022119;2;2;2;05;1;1;1;4;62.613070259
1;20160109019885;2;2;2;13;1;2;6;3;35.230922127
