A0_1;C9_0;ccaa_etapa;pernoc_etapa
20151100039439;01;09;10
20151100039439;02;09;13
20151100039477;01;09;2
20151100039478;01;09;3
20151100039480;01;09;2
20151100039526;01;01;1
20151100039526;02;09;2
20151100039526;03;08;1
20151100039526;04;13;1
20151100039526;05;01;1
20151100039526;06;01;1
20151100039527;01;09;2
20151100039528;01;10;8
20151200000300;01;14;7
20151200000301;01;10;3
20151200000302;01;14;42
20151200000303;01;10;10
20151200000304;01;14;14
20151200000306;01;10;7
20151200000308;01;14;21
20151200000309;01;01;14
20151200000311;01;10;14
20151200000317;01;13;3
20151200000663;01;09;1
20151200000663;02;13;3
20151200000664;01;01;3
20151200000664;02;13;6
20151200000665;01;07;2
20151200000665;02;13;12
20151200000668;01;13;2
20151200000676;01;13;1
20151200000694;01;13;35
20151200000696;01;01;2
20151200000696;02;13;5
20151200000699;01;13;1
20151200004069;01;16;7
20151200004992;01;01;1
20151200004992;02;13;1
20151200004992;03;01;2
20151200004992;04;13;2
20151200005036;01;13;4
20151200006132;01;13;4
20151200006133;01;09;3
