"Anyo","Mes","Destino_CCAA","Gasto_Real"
"2016","4","7",51834714.6680791
"2016","9","3",50664641.6670469
"2016","12","14",50590716.3507605
"2016","7","2",46698572.8616559
"2017","3","3",46080761.3615496
"2016","8","3",45977258.4838098
"2016","7","15",45881532.885066
"2016","8","2",45776848.5946835
"2016","11","12",45757762.6666623
"2016","10","2",45634369.6503332
"2015","10","12",43867508.982089
"2017","1","14",43445191.4117274
"2016","5","7",43364398.3105053
"2017","4","7",43272095.8593902
"2016","4","12",42880792.4410294
"2016","9","6",42848691.4304384
"2015","12","2",42625654.9483575
"2016","12","2",41976161.8795162
"2016","9","2",40876969.9879857
"2016","10","7",39671221.9443251
"2016","6","2",39403486.2291229
"2016","5","2",37934576.7261056
"2016","10","6",37565325.0685777
"2017","1","7",37048914.464875
"2016","11","14",37036656.8789515
"2017","2","14",36392949.0763111
"2016","12","7",36224877.8942409
"2016","1","14",34715238.2995456
"2017","2","7",34658975.3118321
"2016","7","3",34367526.3968051
"2016","4","2",33937225.6340637
"2017","3","2",33690162.6170264
"2016","3","7",33221698.5616927
"2016","11","2",33136150.7252327
"2016","5","3",32999551.2613864
"2017","2","12",32846275.1742414
"2015","11","12",32822543.6457208
"2016","8","8",32690988.1201991
"2015","10","7",32553036.554823
"2016","2","14",32151186.8590383
"2016","5","6",31252332.8855075
"2016","6","3",31037982.110091
"2016","11","3",30962644.1282386
"2017","1","3",30913204.8027433
"2017","3","12",30789105.5509492
"2016","3","2",30029684.6524474
"2016","1","12",27668290.1237217
"2015","10","2",27149613.3462559
"2017","4","2",26484276.7796653
"2017","4","6",25975849.6719744
"2016","2","6",25723202.2806445
"2016","1","3",25677660.9479611
"2015","12","6",25615002.8821896
"2016","2","2",24949025.3611702
"2016","3","3",23919058.7787788
"2017","2","6",23649521.1928353
"2015","11","7",23585610.713376
"2016","1","2",23463827.9834799
"2016","5","8",23386592.6068971
"2016","12","6",23053666.3764806
"2016","4","3",22960458.5507559
"2016","9","8",21776263.6644815
"2016","3","12",21678853.1447249
"2016","11","7",21662450.129097
"2016","7","8",20983276.5397605
"2016","9","15",20409420.2334832
"2016","8","15",20384866.4522812
"2015","11","2",20299745.3668298
"2015","12","14",20185585.7517115
"2015","12","7",20077444.9809119
"2015","11","3",19146445.8788277
"2016","6","11",18712833.9757281
"2017","2","8",18672831.9265664
"2016","10","17",18401251.8608982
"2016","2","7",18164032.096747
"2015","11","14",17492803.5490751
"2015","12","15",17398177.0481489
"2017","1","6",16633746.0129091
"2016","10","15",16622724.5828787
"2015","12","3",16566848.6476414
"2017","1","2",16144201.806497
"2016","12","8",15892175.1836034
"2016","3","15",15689824.8267917
"2015","10","15",15598639.2674213
"2015","10","17",15564374.8555394
"2016","4","6",15083259.6413163
"2016","6","8",14900347.8874669
"2016","1","7",14815211.3338072
"2016","1","15",14700407.700517
"2016","5","15",14694395.7553054
"2015","12","12",14046294.9123019
"2017","2","2",13637769.4381473
"2017","3","6",12528274.5327044
"2016","2","12",12304828.6556417
"2017","1","15",12288301.9517519
"2016","10","8",12282650.2192037
"2016","10","11",11958445.6469363
"2015","10","3",11953433.0632213
"2015","11","6",11864045.0047789
"2016","9","17",11385691.973016
"2017","2","3",11331035.5721824
"2016","8","11",11231389.485057
"2016","8","17",11200531.8749969
"2017","4","3",11079592.7786143
"2016","11","6",10914601.1944486
"2016","11","15",10606919.1128896
"2016","12","17",10438757.1223957
"2016","12","15",10329080.8165375
"2016","4","15",10194887.8764603
"2016","9","11",10133721.8469602
"2016","10","3",10103720.5707504
"2016","2","3",9974466.27787447
"2017","3","15",9826923.77759132
"2017","1","11",9527144.64930441
"2015","10","11",9438688.61874126
"2017","4","11",8923142.13114784
"2016","6","17",8435605.96504946
"2016","4","11",8418691.99576236
"2016","6","15",8350965.01991827
"2015","12","8",8293648.00181953
"2016","11","11",8241108.59005069
"2015","11","15",8225291.26753809
"2017","4","8",7921023.64579604
"2016","7","11",7680125.71012765
"2017","2","15",7520869.05481208
"2016","3","6",7505970.59925339
"2017","1","8",7316117.64481977
"2017","3","8",7014410.3033281
"2016","5","11",6982839.05391057
"2016","1","8",6917668.09439088
"2017","3","17",6784269.25168691
"2016","7","17",6776858.44028302
"2016","3","17",6652460.8403554
"2016","2","15",6514159.53477251
"2016","12","3",6512400.55916008
"2017","4","15",6421217.04831217
"2017","3","11",6332997.76591865
"2016","11","8",6095304.06432305
"2017","1","17",6074377.68142165
"2015","10","8",6047802.52338806
"2016","4","8",6010224.8932253
"2016","3","8",5846523.87474382
"2016","3","11",5429603.84546381
"2016","5","17",5187043.54849832
"2015","11","17",5182855.79915217
"2015","11","8",4887384.68895123
"2016","1","6",4762291.8672036
"2016","11","17",4658807.10597009
"2015","12","11",4462652.11912239
"2016","12","11",4429367.81588025
"2016","4","17",4302568.14938976
"2016","1","11",4203765.78262737
"2015","12","17",4199607.61510047
"2015","11","11",4097904.85406738
"2017","4","17",4020169.92780825
"2016","1","17",3809941.43138619
"2016","2","8",3448656.33733824
"2016","2","17",3429726.60661488
"2017","2","11",2809027.60572582
"2017","2","17",2615144.83470756
"2016","8","19",2396138.71503856
"2016","2","11",2195032.74218489
"2016","6","18",903094.378796197
"2016","2","19",728843.711065393
"2016","4","19",394134.520306304
"2016","1","18",392477.749682077
"2016","10","18",287456.948475087
"2015","10","18",272518.53582322
"2016","9","19",262822.202882299
"2016","11","19",257959.169545747
"2016","7","19",217036.965084761
"2017","1","19",62858.7511864744
"2016","5","18",54500.0134019857
"2017","2","19",53472.8268091914
"2016","6","19",40468.7494416083
