A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170300000326;02;09;2
20170300000330;01;10;25
20170300000331;01;09;1
20170300000332;01;09;10
20170300000341;01;01;60
20170300000342;01;09;1
20170300000342;02;10;1
20170300000342;03;01;62
20170300000342;04;01;1
20170300000342;05;01;2
20170300000342;06;01;1
20170300000342;07;13;2
20170300000342;08;16;2
20170300000343;01;16;5
20170300000345;01;07;1
20170300000345;02;14;15
20170300000349;01;07;1
20170300000349;02;03;3
20170300000350;01;03;5
20170300000353;01;07;6
20170300000356;01;03;5
20170300000401;01;03;15
20170300000402;01;03;5
20170300000403;01;03;2
20170300000404;01;03;45
20170300000405;01;03;10
20170300000406;01;09;3
20170300000406;02;13;3
20170300000406;03;03;45
20170300000409;01;03;10
20170300000410;01;03;1
20170300000411;01;13;1
20170300000411;02;03;5
20170300000412;01;09;4
20170300000413;01;09;1
20170300000413;02;15;39
20170300000414;01;09;1
20170300000415;01;09;5
20170300000416;01;09;4
20170300000417;01;09;4
20170300000419;01;02;4
20170300000420;01;09;2
20170300000421;01;09;4
20170300000422;01;09;3
20170300000423;01;09;3
20170300000424;01;09;3
20170300000426;01;09;5
20170300000427;01;09;3
20170300000428;01;09;14
20170300000430;01;09;5
20170300000431;01;09;2
20170300000432;01;09;7
20170300000435;01;09;3
20170300000436;01;09;3
20170300000437;01;09;4
20170300000438;01;09;3
20170300000439;01;09;2
20170300000440;01;09;4
20170300000442;01;09;7
20170300000443;01;09;2
20170300000444;01;09;4
20170300000445;01;09;4
20170300000446;01;09;3
20170300000447;01;09;60
20170300000447;02;09;1
20170300000448;01;09;17
20170300000450;01;09;4
20170300000451;01;09;20
20170300000452;01;09;4
20170300000453;01;09;4
20170300000454;01;09;2
20170300000455;01;09;2
20170300000456;01;09;1
20170300000457;01;02;6
20170300000458;01;09;7
20170300000459;01;09;2
20170300000460;01;09;7
20170300000461;01;09;2
20170300000462;01;09;1
20170300000463;01;09;3
20170300000464;01;09;5
20170300000465;01;09;11
20170300000466;01;09;7
20170300000467;01;09;3
20170300000468;01;09;4
20170300000469;01;09;4
20170300000470;01;09;2
20170300000471;01;09;4
20170300000472;01;09;4
20170300000473;01;09;6
20170300000474;01;09;5
20170300000475;01;09;4
20170300000477;01;09;6
20170300000478;01;09;2
20170300000479;01;09;4
20170300000481;01;09;90
20170300000482;01;13;2
20170300000483;01;13;7
20170300000484;01;13;4
20170300000485;01;13;3
20170300000486;01;10;1
20170300000488;01;13;4
20170300000523;01;13;3
20170300000524;01;13;2
20170300000525;01;13;3
20170300000526;01;13;5
20170300000527;01;13;1
20170300000528;01;13;2
20170300000530;01;13;2
20170300000532;01;13;1
20170300000560;01;13;3
20170300000561;01;13;3
20170300000562;01;13;30
20170300000563;01;13;1
20170300000564;01;13;1
20170300000564;02;10;4
20170300000565;01;13;5
20170300000566;01;13;1
20170300000567;01;13;3
20170300000569;01;13;15
20170300000570;01;13;4
20170300000571;01;13;9
20170300000572;01;12;10
20170300000617;01;13;3
20170300000618;01;13;2
20170300000619;01;13;9
20170300000620;01;13;3
20170300000620;02;10;3
20170300000623;01;13;5
20170300000625;01;13;3
20170300000659;01;13;4
20170300000660;01;13;3
20170300000661;01;13;5
20170300000664;01;13;4
20170300000665;01;13;5
20170300000666;01;13;5
20170300000667;01;13;2
20170300000669;01;13;2
20170300000670;01;10;10
20170300000671;01;10;5
20170300000672;01;02;16
20170300000673;01;10;14
20170300000674;01;10;6
20170300000675;01;10;2
20170300000676;01;13;2
20170300000676;02;09;2
20170300000676;03;10;2
20170300000677;01;10;4
20170300000678;01;10;2
20170300000679;01;10;20
20170300000680;01;10;4
20170300000680;02;13;1
20170300000680;03;10;1
20170300000681;01;10;6
20170300000682;01;10;1
20170300000702;01;10;3
20170300000733;01;10;3
20170300000735;01;10;5
20170300000736;01;10;2
20170300000736;02;01;1
20170300000736;03;01;2
20170300000736;04;01;1
20170300000736;05;01;1
20170300000736;06;10;2
20170300000737;01;10;2
20170300000738;01;10;2
20170300000739;01;10;5
20170300000741;01;10;7
20170300000742;01;10;1
20170300000742;02;10;6
20170300000744;01;13;2
20170300000744;02;10;3
20170300000745;01;10;15
20170300000745;02;13;3
20170300000745;03;10;4
20170300000746;01;10;4
20170300000747;01;10;3
20170300000747;02;10;4
20170300000748;01;10;10
20170300000772;01;10;10
20170300000828;01;09;2
20170300000830;01;13;2
20170300001206;01;09;1
20170300001207;01;01;50
20170300001207;02;09;1
20170300001208;01;01;6
20170300001208;02;01;2
20170300001208;03;10;2
20170300001208;04;09;10
20170300001208;05;09;3
20170300001209;01;09;7
20170300001210;01;05;7
20170300001210;02;09;2
20170300001211;01;04;30
20170300001212;01;13;2
20170300001213;01;01;4
20170300001213;02;09;1
20170300001215;01;05;8
20170300001216;01;10;6
20170300001276;01;10;30
20170300001278;01;09;6
20170300001279;01;10;15
20170300001283;01;09;4
20170300001285;01;09;5
20170300001287;01;09;4
20170300001293;01;10;21
20170300001295;01;03;5
20170300001296;01;03;7
20170300001297;01;12;1
20170300001297;02;03;2
20170300001298;01;07;3
20170300001298;02;03;3
20170300001299;01;03;7
20170300001300;01;03;6
20170300001301;01;03;4
20170300001302;01;03;1
20170300001303;01;04;14
20170300001304;01;04;6
20170300001305;01;04;5
20170300001306;01;04;7
20170300001338;01;04;5
20170300001339;01;04;5
20170300001340;01;04;2
20170300001341;01;04;5
20170300001404;01;01;5
20170300001405;01;14;10
20170300001406;01;10;5
20170300001408;01;14;12
20170300001410;01;14;28
20170300001447;01;14;30
20170300001448;01;14;28
20170300001449;01;10;10
20170300001450;01;10;35
20170300001451;01;04;7
20170300001452;01;04;3
20170300001453;01;04;5
20170300001453;02;04;5
20170300001481;01;04;3
20170300001481;02;04;5
20170300001483;01;04;7
20170300001484;01;04;6
20170300001485;01;04;7
20170300001486;01;04;7
20170300001487;01;04;7
20170300001488;01;04;7
20170300001489;01;04;6
20170300001490;01;04;8
20170300001491;01;04;7
20170300001492;01;04;12
20170300001493;01;04;7
20170300001494;01;04;7
20170300001495;01;04;3
20170300001496;01;04;5
20170300001497;01;04;7
20170300001498;01;04;7
20170300001499;01;04;7
20170300001500;01;04;6
20170300001501;01;04;3
20170300001502;01;04;7
20170300001503;01;04;6
20170300001504;01;04;3
20170300001505;01;04;7
20170300001506;01;04;7
20170300001538;01;04;8
20170300001539;01;04;5
20170300001540;01;04;14
20170300001541;01;04;6
20170300001542;01;04;7
20170300001543;01;04;7
20170300001544;01;04;7
20170300001545;01;04;7
20170300001546;01;04;7
20170300001547;01;04;7
20170300001548;01;04;7
20170300001549;01;04;8
20170300001550;01;04;8
20170300001551;01;04;7
20170300001552;01;04;5
20170300001553;01;04;7
20170300001554;01;04;4
20170300001555;01;04;5
20170300001556;01;04;7
20170300001557;01;04;7
20170300001558;01;04;7
20170300001559;01;04;14
20170300001560;01;04;7
20170300001611;01;09;6
20170300001613;01;09;5
20170300001613;02;09;5
20170300001614;01;09;1
20170300001615;01;09;5
20170300001618;01;09;3
20170300001618;02;04;2
20170300001619;01;09;6
20170300001620;01;09;2
20170300001621;01;09;10
20170300001622;01;09;2
20170300001623;01;09;7
20170300001624;01;09;6
20170300001625;01;09;12
20170300001626;01;09;4
20170300001627;01;09;6
20170300001628;01;09;3
20170300001629;01;13;2
20170300001629;02;09;2
20170300001630;01;09;14
20170300001630;02;09;3
20170300001631;01;09;3
20170300001632;01;13;2
20170300001632;02;01;2
20170300001632;03;01;3
20170300001632;04;13;3
20170300001632;05;09;5
20170300001633;01;09;36
20170300001634;01;09;8
20170300001635;01;09;4
20170300001636;01;09;9
20170300001638;01;09;1
20170300001639;01;09;2
20170300001693;01;09;7
20170300001694;01;09;5
20170300001696;01;09;34
20170300001697;01;09;4
20170300001699;01;09;3
20170300001701;01;13;4
20170300001701;02;09;3
20170300001702;01;09;6
20170300001703;01;09;5
20170300001704;01;09;3
20170300001704;02;09;1
20170300001705;01;09;5
20170300001706;01;09;7
20170300001708;01;02;10
20170300001709;01;09;6
20170300001710;01;09;7
20170300001711;01;09;4
20170300001712;01;09;7
20170300001713;01;09;9
20170300001714;01;09;3
20170300001716;01;09;5
20170300001716;02;09;1
20170300001718;01;09;5
20170300001720;01;09;7
20170300001721;01;09;9
20170300001721;02;05;5
20170300001724;01;12;30
